Gmt time,Open,High,Low,Close,Volume
2017-08-17 04:00:00,4261.48000000,4280.56000000,4261.48000000,4261.48000000,2.18906100
2017-08-17 04:15:00,4261.48000000,4270.41000000,4261.32000000,4261.45000000,9.11986500
2017-08-17 04:30:00,4280.00000000,4310.07000000,4267.99000000,4310.07000000,21.92355200
2017-08-17 04:45:00,4310.07000000,4313.62000000,4291.37000000,4308.83000000,13.94853100
2017-08-17 05:00:00,4308.83000000,4328.69000000,4304.31000000,4304.31000000,5.10115300
2017-08-17 05:15:00,4320.00000000,4320.00000000,4312.14000000,4320.00000000,15.94749500
2017-08-17 05:30:00,4320.00000000,4320.00000000,4291.37000000,4291.37000000,2.15545300
2017-08-17 05:45:00,4297.04000000,4315.32000000,4297.04000000,4315.32000000,0.03081500
2017-08-17 06:00:00,4330.29000000,4330.29000000,4318.39000000,4330.00000000,0.06536400
2017-08-17 06:15:00,4309.37000000,4330.29000000,4309.37000000,4311.02000000,3.50091300
2017-08-17 06:30:00,4328.65000000,4345.45000000,4319.83000000,4345.45000000,3.49417600
2017-08-17 06:45:00,4345.45000000,4345.45000000,4324.35000000,4324.35000000,0.16923800
2017-08-17 07:00:00,4316.62000000,4316.62000000,4316.62000000,4316.62000000,0.00154100
2017-08-17 07:15:00,4291.38000000,4291.38000000,4291.38000000,4291.38000000,0.03891800
2017-08-17 07:30:00,4291.39000000,4300.00000000,4291.39000000,4300.00000000,0.71890100
2017-08-17 07:45:00,4287.41000000,4349.99000000,4287.41000000,4349.99000000,3.68388900
2017-08-17 08:00:00,4333.32000000,4377.85000000,4333.32000000,4360.71000000,0.76641700
2017-08-17 08:15:00,4360.71000000,4360.71000000,4360.70000000,4360.70000000,0.07584300
2017-08-17 08:30:00,4360.70000000,4360.70000000,4360.00000000,4360.69000000,0.09926200
2017-08-17 08:45:00,4360.70000000,4360.70000000,4360.69000000,4360.69000000,0.03128500
2017-08-17 09:00:00,4360.00000000,4360.00000000,4360.00000000,4360.00000000,0.00629600
2017-08-17 09:15:00,4360.00000000,4360.00000000,4360.00000000,4360.00000000,2.28870500
2017-08-17 09:30:00,4360.00000000,4445.78000000,4360.00000000,4436.51000000,8.41080000
2017-08-17 09:45:00,4444.00000000,4444.00000000,4444.00000000,4444.00000000,0.05782200
